Gene_ID,Flower,Fruit,Leaf,Root,Seed,Som_embryo
MELO3C015362,602.613125,335.987037037,913.23,1059.9733333333,1121.6,1032.3
MELO3C015363,1749.4,951.8618518519,730.2466666667,567.7666666667,1878.8,1997.3
MELO3C015364,153.40875,131.3440740741,63.8883333333,67.6266666667,85,149.6
MELO3C029313,25.414375,16.362962963,113.1183333333,10.7,4,8.4
MELO3C015365,56.78,54.6392592593,171.3833333333,22.6266666667,72.9,40.4
MELO3C029314,19.4425,5.2233333333,51.5716666667,6.61,4,10.1
MELO3C015366,937.640625,669.9233333333,635.6083333333,744.23,1643.9,1297.9
MELO3C015367,374.11625,386.8988888889,544.9766666667,231.3733333333,368.5,398.5
MELO3C015368,444.28125,653.137037037,425.81,445.69,271.3,418.6
MELO3C015369,304.04875,822.3459259259,325.3866666667,187.2366666667,97.2,92.5
MELO3C029307,0.575625,0,0,0,0,0
MELO3C015371,11.38375,0.7959259259,4.9266666667,108.2,0,23.5
MELO3C015372,709.328125,1513.4196296296,637.4866666667,659.7866666667,1068.9,494.3
MELO3C015373,2118.11375,2316.3025925926,1879.8983333333,1446.8566666667,5194.9,3162.5
MELO3C015374,3976.91,7065.79,1232.0966666667,2900.8266666667,13033.9,1378.6
MELO3C015375,3681.27375,1915.3288888889,8252.1416666667,1797.9133333333,1688.5,332.9
MELO3C015376,1096.35875,1444.1340740741,1088.9916666667,1690.2766666667,761.2,881
MELO3C029311,108.63625,65.6485185185,75.38,103.26,291.5,230.3
MELO3C015377,65.620625,45.0718518519,449.365,552.5233333333,0,40.4
MELO3C015378,695.748125,757.9144444444,1783.6283333333,322.7733333333,413,430.4
MELO3C029316,1.285625,1.1737037037,2.3766666667,1.22,0,0
MELO3C015379,959.6525,585.1248148148,1260.92,1093.6966666667,222.7,490.9
MELO3C015382,386.948125,26.9596296296,95.0333333333,18.9,36.4,307.7
MELO3C015383,804.42375,583.3055555556,554.8183333333,410.0233333333,121.5,395.1
MELO3C015384,198.260625,259.9677777778,155.2983333333,144.1033333333,388.7,238.7
MELO3C015385,1693.36125,1618.352962963,1987.64,1712.2633333333,2607.6,3091.8
MELO3C015386,225.09875,147.122962963,100.9483333333,395.78,2635.9,149.6
MELO3C015387,793.7475,189.7022222222,55.4733333333,121.6033333333,947.5,48.8
MELO3C015388,4606.85875,170.6818518519,266.7233333333,20.5966666667,0,0
MELO3C015389,1150.68375,1378.9966666667,1039.3566666667,1520.3533333333,1149.9,1751.9
MELO3C015391,824.453125,702.3751851852,646.1583333333,1038.75,307.7,1165.1
MELO3C029289,0.21375,0.0977777778,0,0,0,0
MELO3C015395,14.900625,21.3003703704,2.3666666667,0.9466666667,4202.9,1.7
MELO3C015396,280.5825,474.5751851852,165.0366666667,546.6166666667,68.8,237.1
MELO3C015397,0.3825,1.182962963,0.355,9.1133333333,0,0
MELO3C015398,742.353125,1231.4811111111,2029.0416666667,29.5833333333,680.2,107.6
MELO3C015399,11.6425,1783.4633333333,7.905,2.3266666667,0,1.7
MELO3C029287,19.7625,100.7174074074,6.8883333333,49.6933333333,0,60.5
MELO3C015400,2362.11875,3839.8966666667,1389.48,2122.9233333333,1781.6,1128.1
MELO3C015402,1419.47125,654.6059259259,594.1483333333,964.2233333333,105.3,1326.5
MELO3C015403,516.345,165.2677777778,257.2583333333,196.8333333333,105.3,84.1
MELO3C015406,544.17625,731.2677777778,249.9533333333,185.5633333333,56.7,366.5
MELO3C015407,5153.753125,20461.4818518518,7256.3716666667,12195.1533333333,352.3,8367.7
MELO3C015408,949.701875,1189.0466666667,329.3333333333,699.4733333333,64.8,230.3
MELO3C015409,57.814375,99.0607407407,45.2033333333,723.59,113.4,176.5
MELO3C015411,924.4275,163.5992592593,336.0683333333,878.41,190.3,432.1
MELO3C015412,229.265,105.6781481481,336.755,192.51,595.2,285.8
MELO3C015413,237.349375,277.6059259259,181.955,257.4933333333,1975.9,304.3
MELO3C015414,34.3175,23.4888888889,71.975,199.7033333333,32.4,65.6
MELO3C015415,284.715625,283.8796296296,295.2083333333,2366.77,660,3128.8
MELO3C015416,2153.215,1294.8051851852,1573.51,2179.2033333333,3490.3,2654.7
MELO3C015417,38.950625,2.3892592593,24.2766666667,149.53,81,5
MELO3C015418,395.664375,86.9977777778,216.125,11.6633333333,20.2,163.1
MELO3C015419,411.70125,33.6777777778,9.1616666667,93.7633333333,162,660.7
MELO3C015420,1095.521875,897.842962963,765.2466666667,985.5166666667,1048.7,933.1
MELO3C015421,2714.088125,7589.2225925926,4216.2383333333,2105.1666666667,13811.3,12086.6
MELO3C015422,1397.471875,1181.7407407407,1842.2866666667,1087.96,332,2242.8
MELO3C015423,298.256875,121.7418518519,159.4133333333,105.3566666667,931.3,134.5
MELO3C015424,1875.5325,322.4985185185,704.8066666667,526.0633333333,133.6,955
MELO3C015425,359.975,321.4762962963,216.7433333333,190.88,3065.1,455.6
MELO3C015426,213.7375,163.1685185185,113.44,61.57,4,11.8
MELO3C015427,111.864375,21.5892592593,69.7116666667,101.4,166,0
MELO3C029290,22.839375,28.357037037,19.165,9.79,12.1,31.9
MELO3C015428,735.55625,6328.64,645.3716666667,1606.0533333333,1275.4,2505.1
MELO3C015429,460.728125,470.4174074074,418.0333333333,290.5233333333,145.8,314.4
MELO3C015430,3016.9925,81.2596296296,1938.8933333333,3957.7266666667,4,1037.3
MELO3C015431,2242.22875,4946.8162962963,1853.5383333333,1199.64,11053.9,3362.5
MELO3C015432,448.28625,910.6055555556,551.96,523.3733333333,259.1,433.8
MELO3C015433,2504.04125,4651.2474074074,2384.1383333333,2777.5533333333,1263.3,1461
